0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010
0.000010,0.270141,0.276721,0.278348,0.274662,0.269127,0.280031,0.282665,0.299204,0.286348,0.000010,0.730654,0.762199,0.661877,0.652696,0.678045,0.675798,0.673524,0.671534,0.410349,0.402844,0.000010,0.375754,0.395607,0.394798,0.396033,0.440908,0.491724,0.487083,0.000010
0.000010,0.505907,0.516720,0.478556,0.317045,0.283614,0.287343,0.299121,0.300796,0.293975,0.000010,0.759144,0.768900,0.756573,0.759701,0.678251,0.673149,0.633938,0.630848,0.461306,0.465644,0.476263,0.403052,0.404832,0.416162,0.416389,0.468575,0.486855,0.488081,0.000010
0.000010,0.465160,0.516297,0.477509,0.382174,0.294978,0.302625,0.300670,0.298737,0.284818,0.000010,0.730781,0.772240,0.769367,0.761233,0.701729,0.606567,0.470928,0.469699,0.527462,0.469897,0.443642,0.379867,0.383274,0.384764,0.448935,0.452996,0.480573,0.472709,0.000010
0.000010,0.463158,0.519763,0.479922,0.467935,0.301954,0.306257,0.298034,0.294893,0.286973,0.000010,0.757300,0.805690,0.822124,0.807882,0.744571,0.635102,0.557584,0.589032,0.616077,0.431315,0.000010,0.377184,0.401945,0.431687,0.436770,0.464363,0.477631,0.470917,0.000010
0.000010,0.462435,0.521542,0.484848,0.475260,0.292998,0.299858,0.296078,0.298094,0.292074,0.000010,0.729649,0.798263,0.822807,0.836407,0.737581,0.671753,0.612517,0.611417,0.632136,0.339981,0.000010,0.388169,0.434754,0.444220,0.463699,0.427967,0.460183,0.471181,0.000010
0.000010,0.461562,0.524235,0.524056,0.478252,0.280765,0.282909,0.285607,0.292273,0.285069,0.000010,0.000010,0.000010,0.000010,0.000010,0.795554,0.690750,0.000010,0.000010,0.000010,0.000010,0.000010,0.387955,0.435868,0.459593,0.451985,0.405741,0.460421,0.471417,0.000010
0.000010,0.000010,0.579288,0.579683,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.000010,0.747626,0.770990,0.767402,0.772554,0.674338,0.648324,0.648541,0.617611,0.658145,0.529681,0.000010,0.389904,0.446558,0.455692,0.455151,0.418797,0.477555,0.459523,0.000010
0.000010,0.514808,0.544626,0.625579,0.629497,0.655934,0.716384,0.881349,0.859690,0.000010,0.764021,0.795987,0.819585,0.794705,0.717935,0.640319,0.592576,0.611855,0.645042,0.656525,0.562209,0.000010,0.391863,0.444502,0.448910,0.465425,0.457369,0.468309,0.448817,0.000010
0.000010,0.808382,0.825023,0.790101,0.737594,0.669397,0.791942,0.857614,0.899794,0.788468,0.699560,0.794796,0.796155,0.761895,0.635911,0.569768,0.605260,0.602972,0.614963,0.641132,0.553925,0.000010,0.410260,0.443559,0.446647,0.470589,0.458650,0.470079,0.435021,0.000010
